max_state_error,prediction,observed,error,relative_error
0,436.62266595633884,329.0,107.62266595633884,0.32712056521683536
1,1195.8005621043972,980.0,215.80056210439716,0.22020465520856852
2,1701.6893486598924,1427.0,274.6893486598924,0.19249428777848102
3,2016.5476645316796,1733.0,283.54766453167963,0.16361665581747237
4,2209.3919963151607,1948.0,261.39199631516067,0.1341848030365301
5,2326.309405254343,2103.0,223.3094052543429,0.10618611757220299
6,2396.8912935851395,2227.0,169.89129358513946,0.07628706492372675
7,2439.1275131090765,2293.0,146.12751310907652,0.06372765508463869
8,2464.344474665074,2343.0,121.3444746650739,0.051790215392690526
9,2479.3133082131526,2383.0,96.3133082131526,0.04041683097488569
10,2488.1265175556587,2418.0,70.12651755565867,0.029001868302588364
11,2493.251168405212,2438.0,55.251168405211956,0.022662497295000802
12,2496.188720444319,2458.0,38.18872044431919,0.015536501401268995
13,2497.8547514619054,2474.0,23.85475146190538,0.009642179248951246
14,2498.7914047396316,2479.0,19.791404739631616,0.007983624340311262
15,2499.3171983622724,2485.0,14.317198362272393,0.005761448033107602
