max_state_error,prediction,observed,error,relative_error
0,543.6253313243413,344.0,199.62533132434135,0.5803061957102946
1,1429.4171262104603,963.0,466.4171262104603,0.484337618079398
2,1963.6087299618537,1363.0,600.6087299618537,0.4406520395905016
3,2248.1799504893584,1657.0,591.1799504893584,0.356777278508967
4,2388.252208055966,1852.0,536.2522080559661,0.28955302810797307
5,2452.888617489189,2040.0,412.8886174891891,0.2023963811221515
6,2481.1392777542997,2150.0,331.13927775429966,0.15401826872293006
7,2492.8435033823002,2233.0,259.84350338230024,0.11636520527644435
8,2497.429367357842,2300.0,197.42936735784178,0.08583885537297468
9,2499.1271897671986,2344.0,155.12718976719862,0.06618054170955573
10,2499.720315239906,2381.0,118.72031523990609,0.049861535170057154
11,2499.9155190564616,2408.0,91.91551905646156,0.038170896618131875
12,2499.975970471701,2428.0,71.9759704717012,0.02964413940350132
13,2499.993569415845,2449.0,50.99356941584483,0.02082220065979781
14,2499.9983822128365,2462.0,37.99838221283653,0.015433948908544489
15,2499.999617806007,2474.0,25.99961780600688,0.010509142201296234
