max_state_error,prediction,observed,error,relative_error
0,322.6540007579104,284.0,38.65400075791041,0.13610563647151552
1,913.2386084464473,790.0,123.2386084464473,0.1559982385398067
2,1417.2750720314584,1218.0,199.27507203145842,0.16360843352336488
3,1810.0959808216885,1601.0,209.0959808216885,0.1306033609129847
4,2085.5666606823675,1893.0,192.56666068236746,0.101725652764061
5,2259.370889860337,2070.0,189.37088986033677,0.09148352167166028
6,2361.568300717149,2182.0,179.5683007171492,0.08229527988870267
7,2420.474025541514,2275.0,145.47402554151404,0.06394462661165452
8,2454.6650950760186,2325.0,129.6650950760186,0.0557699333660295
9,2474.4550165199776,2370.0,104.45501651997756,0.044073846632901925
10,2485.794604959869,2404.0,81.79460495986905,0.03402437810310693
11,2492.2039137313573,2432.0,60.20391373135726,0.024754898738222557
12,2495.774970016856,2453.0,42.77497001685606,0.01743781900401796
13,2497.7377219717964,2466.0,31.737721971796418,0.01287012245409425
14,2498.8013958230945,2479.0,19.80139582309448,0.00798765462811395
15,2499.3698086694303,2482.0,17.369808669430313,0.006998311309198354
16,2499.6703217342356,2484.0,15.670321734235586,0.006308503113621411
17,2499.8283220474955,2490.0,9.828322047495476,0.003947117288150793
18,2499.911192013999,2490.0,9.91119201399897,0.0039803983991963734
19,2499.954554580671,2495.0,4.9545545806709015,0.0019857934191065737
20,2499.977133347414,2496.0,3.97713334741411,0.0015934027834191146
