,subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,loc_im0,lon_min,lon_max,lat_min,lat_max,filesize_bytes,imsize_x_pix,imsize_y_pix
413737,13094992,5187,5030,14929,"{""lat_ctr"":""18.5117874871"",""lat_max"":""18.5200868731"",""lat_min"":""18.5034881012"",""lon_ctr"":""-67.1378012083"",""lon_max"":""-67.1294923664"",""lon_min"":""-67.1461100502"",""x_m_ctr"":""62937.0628905"",""x_m_max"":""63837.063836"",""x_m_min"":""62037.061945"",""y_m_ctr"":""2051826.19676"",""y_m_max"":""2052726.19764"",""y_m_min"":""2050926.19587"",""jpg_file"":""puerto_rico_dg_before_009_014.jpg"",""tif_file"":""puerto_rico_dg_before_009_014.tif"",""imsize_x_pix"":""600"",""imsize_y_pix"":""600"",""tifsize_x_pix"":""600"",""tifsize_y_pix"":""600"",""projection_orig"":""epsg:32620"",""google_maps_link"":""https://www.google.com/maps/@18.5117875,-67.1378012,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/18.5117875/-67.1378012""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3875b5fd-fbee-47e2-8e98-1f17268c348f.jpeg""}",25,2017-09-21 15:13:34 UTC,classification_count,https://panoptes-uploads.zooniverse.org/production/subject_location/3875b5fd-fbee-47e2-8e98-1f17268c348f.jpeg,-67.1461100502,-67.1294923664,18.5034881012,18.5200868731,,600,600
413750,13094993,5187,5030,14929,"{""lat_ctr"":""18.5121594364"",""lat_max"":""18.5204582358"",""lat_min"":""18.5038606371"",""lon_ctr"":""-67.1207926427"",""lon_max"":""-67.1124828018"",""lon_min"":""-67.1291024837"",""x_m_ctr"":""64737.0647815"",""x_m_max"":""65637.065727"",""x_m_min"":""63837.063836"",""y_m_ctr"":""2051826.19676"",""y_m_max"":""2052726.19764"",""y_m_min"":""2050926.19587"",""jpg_file"":""puerto_rico_dg_before_009_015.jpg"",""tif_file"":""puerto_rico_dg_before_009_015.tif"",""imsize_x_pix"":""600"",""imsize_y_pix"":""600"",""tifsize_x_pix"":""600"",""tifsize_y_pix"":""600"",""projection_orig"":""epsg:32620"",""google_maps_link"":""https://www.google.com/maps/@18.5121594,-67.1207926,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/18.5121594/-67.1207926""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/cbfe1fd0-a9c5-4c05-b4ea-c04f1be63538.jpeg""}",25,2017-09-21 13:09:00 UTC,classification_count,https://panoptes-uploads.zooniverse.org/production/subject_location/cbfe1fd0-a9c5-4c05-b4ea-c04f1be63538.jpeg,-67.1291024837,-67.1124828018,18.5038606371,18.5204582358,,600,600
413763,13094994,5187,5030,14929,"{""lat_ctr"":""18.5125298634"",""lat_max"":""18.5208280753"",""lat_min"":""18.5042316514"",""lon_ctr"":""-67.1037836748"",""lon_max"":""-67.0954728356"",""lon_min"":""-67.112094514"",""x_m_ctr"":""66537.0666725"",""x_m_max"":""67437.067618"",""x_m_min"":""65637.065727"",""y_m_ctr"":""2051826.19676"",""y_m_max"":""2052726.19764"",""y_m_min"":""2050926.19587"",""jpg_file"":""puerto_rico_dg_before_009_016.jpg"",""tif_file"":""puerto_rico_dg_before_009_016.tif"",""imsize_x_pix"":""600"",""imsize_y_pix"":""600"",""tifsize_x_pix"":""600"",""tifsize_y_pix"":""600"",""projection_orig"":""epsg:32620"",""google_maps_link"":""https://www.google.com/maps/@18.5125299,-67.1037837,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/18.5125299/-67.1037837""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e340f5be-ba52-4bec-be88-df8b44c920be.jpeg""}",25,2017-09-21 14:26:16 UTC,classification_count,https://panoptes-uploads.zooniverse.org/production/subject_location/e340f5be-ba52-4bec-be88-df8b44c920be.jpeg,-67.112094514,-67.0954728356,18.5042316514,18.5208280753,,600,600
413776,13094995,5187,5030,14929,"{""lat_ctr"":""18.5128987678"",""lat_max"":""18.5211963916"",""lat_min"":""18.5046011441"",""lon_ctr"":""-67.086774306"",""lon_max"":""-67.0784624692"",""lon_min"":""-67.0950861427"",""x_m_ctr"":""68337.0685635"",""x_m_max"":""69237.069509"",""x_m_min"":""67437.067618"",""y_m_ctr"":""2051826.19676"",""y_m_max"":""2052726.19764"",""y_m_min"":""2050926.19587"",""jpg_file"":""puerto_rico_dg_before_009_017.jpg"",""tif_file"":""puerto_rico_dg_before_009_017.tif"",""imsize_x_pix"":""600"",""imsize_y_pix"":""600"",""tifsize_x_pix"":""600"",""tifsize_y_pix"":""600"",""projection_orig"":""epsg:32620"",""google_maps_link"":""https://www.google.com/maps/@18.5128988,-67.0867743,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/18.5128988/-67.0867743""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6fd6764e-fc75-46cf-ab3c-e188386924b7.jpeg""}",25,2017-09-21 15:00:56 UTC,classification_count,https://panoptes-uploads.zooniverse.org/production/subject_location/6fd6764e-fc75-46cf-ab3c-e188386924b7.jpeg,-67.0950861427,-67.0784624692,18.5046011441,18.5211963916,,600,600
413789,13094996,5187,5030,14929,"{""lat_ctr"":""18.5132661496"",""lat_max"":""18.5215631844"",""lat_min"":""18.5049691149"",""lon_ctr"":""-67.0697645381"",""lon_max"":""-67.0614517045"",""lon_min"":""-67.0780773716"",""x_m_ctr"":""70137.0704545"",""x_m_max"":""71037.0714"",""x_m_min"":""69237.069509"",""y_m_ctr"":""2051826.19676"",""y_m_max"":""2052726.19764"",""y_m_min"":""2050926.19587"",""jpg_file"":""puerto_rico_dg_before_009_018.jpg"",""tif_file"":""puerto_rico_dg_before_009_018.tif"",""imsize_x_pix"":""600"",""imsize_y_pix"":""600"",""tifsize_x_pix"":""600"",""tifsize_y_pix"":""600"",""projection_orig"":""epsg:32620"",""google_maps_link"":""https://www.google.com/maps/@18.5132661,-67.0697645,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/18.5132661/-67.0697645""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a80557d4-8530-419d-ac4a-5c98599624ed.jpeg""}",25,2017-09-21 14:11:53 UTC,classification_count,https://panoptes-uploads.zooniverse.org/production/subject_location/a80557d4-8530-419d-ac4a-5c98599624ed.jpeg,-67.0780773716,-67.0614517045,18.5049691149,18.5215631844,,600,600
413802,13094997,5187,5030,14929,"{""lat_ctr"":""18.5136320087"",""lat_max"":""18.5219284536"",""lat_min"":""18.5053355637"",""lon_ctr"":""-67.0527543726"",""lon_max"":""-67.044440543"",""lon_min"":""-67.0610682023"",""x_m_ctr"":""71937.0723455"",""x_m_max"":""72837.073291"",""x_m_min"":""71037.0714"",""y_m_ctr"":""2051826.19676"",""y_m_max"":""2052726.19764"",""y_m_min"":""2050926.19587"",""jpg_file"":""puerto_rico_dg_before_009_019.jpg"",""tif_file"":""puerto_rico_dg_before_009_019.tif"",""imsize_x_pix"":""600"",""imsize_y_pix"":""600"",""tifsize_x_pix"":""600"",""tifsize_y_pix"":""600"",""projection_orig"":""epsg:32620"",""google_maps_link"":""https://www.google.com/maps/@18.5136320,-67.0527544,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/18.5136320/-67.0527544""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9b9edc72-c262-4049-9a2b-7a5243d1be7c.jpeg""}",25,2017-09-21 13:53:51 UTC,classification_count,https://panoptes-uploads.zooniverse.org/production/subject_location/9b9edc72-c262-4049-9a2b-7a5243d1be7c.jpeg,-67.0610682023,-67.044440543,18.5053355637,18.5219284536,,600,600
413815,13094998,5187,5030,14929,"{""lat_ctr"":""18.5139963447"",""lat_max"":""18.5222921991"",""lat_min"":""18.5057004903"",""lon_ctr"":""-67.0357438114"",""lon_max"":""-67.0274289864"",""lon_min"":""-67.0440586364"",""x_m_ctr"":""73737.0742365"",""x_m_max"":""74637.075182"",""x_m_min"":""72837.073291"",""y_m_ctr"":""2051826.19676"",""y_m_max"":""2052726.19764"",""y_m_min"":""2050926.19587"",""jpg_file"":""puerto_rico_dg_before_009_020.jpg"",""tif_file"":""puerto_rico_dg_before_009_020.tif"",""imsize_x_pix"":""600"",""imsize_y_pix"":""600"",""tifsize_x_pix"":""600"",""tifsize_y_pix"":""600"",""projection_orig"":""epsg:32620"",""google_maps_link"":""https://www.google.com/maps/@18.5139963,-67.0357438,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/18.5139963/-67.0357438""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f513dc17-45a5-40e7-a551-5727a2859ff8.jpeg""}",25,2017-09-21 14:32:15 UTC,classification_count,https://panoptes-uploads.zooniverse.org/production/subject_location/f513dc17-45a5-40e7-a551-5727a2859ff8.jpeg,-67.0440586364,-67.0274289864,18.5057004903,18.5222921991,,600,600
413828,13094999,5187,5030,14929,"{""lat_ctr"":""18.5143591577"",""lat_max"":""18.5226544207"",""lat_min"":""18.5060638946"",""lon_ctr"":""-67.0187328559"",""lon_max"":""-67.0104170363"",""lon_min"":""-67.0270486755"",""x_m_ctr"":""75537.0761275"",""x_m_max"":""76437.077073"",""x_m_min"":""74637.075182"",""y_m_ctr"":""2051826.19676"",""y_m_max"":""2052726.19764"",""y_m_min"":""2050926.19587"",""jpg_file"":""puerto_rico_dg_before_009_021.jpg"",""tif_file"":""puerto_rico_dg_before_009_021.tif"",""imsize_x_pix"":""600"",""imsize_y_pix"":""600"",""tifsize_x_pix"":""600"",""tifsize_y_pix"":""600"",""projection_orig"":""epsg:32620"",""google_maps_link"":""https://www.google.com/maps/@18.5143592,-67.0187329,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/18.5143592/-67.0187329""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3b042c12-776c-4a4c-bea7-af1d0112cf59.jpeg""}",26,2017-09-21 14:59:49 UTC,classification_count,https://panoptes-uploads.zooniverse.org/production/subject_location/3b042c12-776c-4a4c-bea7-af1d0112cf59.jpeg,-67.0270486755,-67.0104170363,18.5060638946,18.5226544207,,600,600
413841,13095000,5187,5030,14929,"{""lat_ctr"":""18.5147204474"",""lat_max"":""18.5230151182"",""lat_min"":""18.5064257765"",""lon_ctr"":""-67.0017215079"",""lon_max"":""-66.9934046944"",""lon_min"":""-67.0100383213"",""x_m_ctr"":""77337.0780185"",""x_m_max"":""78237.078964"",""x_m_min"":""76437.077073"",""y_m_ctr"":""2051826.19676"",""y_m_max"":""2052726.19764"",""y_m_min"":""2050926.19587"",""jpg_file"":""puerto_rico_dg_before_009_022.jpg"",""tif_file"":""puerto_rico_dg_before_009_022.tif"",""imsize_x_pix"":""600"",""imsize_y_pix"":""600"",""tifsize_x_pix"":""600"",""tifsize_y_pix"":""600"",""projection_orig"":""epsg:32620"",""google_maps_link"":""https://www.google.com/maps/@18.5147204,-67.0017215,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/18.5147204/-67.0017215""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/28cdfb14-3436-4198-9846-abfb2ad45edf.jpeg""}",10,2017-09-21 12:19:10 UTC,other,https://panoptes-uploads.zooniverse.org/production/subject_location/28cdfb14-3436-4198-9846-abfb2ad45edf.jpeg,-67.0100383213,-66.9934046944,18.5064257765,18.5230151182,,600,600
413854,13095001,5187,5030,14929,"{""lat_ctr"":""18.4948136454"",""lat_max"":""18.5031140439"",""lat_min"":""18.4865132469"",""lon_ctr"":""-67.1714234604"",""lon_max"":""-67.1631172119"",""lon_min"":""-67.1797297089"",""x_m_ctr"":""59337.0591085"",""x_m_max"":""60237.060054"",""x_m_min"":""58437.058163"",""y_m_ctr"":""2050026.19499"",""y_m_max"":""2050926.19587"",""y_m_min"":""2049126.19411"",""jpg_file"":""puerto_rico_dg_before_010_012.jpg"",""tif_file"":""puerto_rico_dg_before_010_012.tif"",""imsize_x_pix"":""600"",""imsize_y_pix"":""600"",""tifsize_x_pix"":""600"",""tifsize_y_pix"":""600"",""projection_orig"":""epsg:32620"",""google_maps_link"":""https://www.google.com/maps/@18.4948136,-67.1714235,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/18.4948136/-67.1714235""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3598c469-e053-426a-b47a-c332d67a02a9.jpeg""}",25,2017-09-21 14:38:03 UTC,classification_count,https://panoptes-uploads.zooniverse.org/production/subject_location/3598c469-e053-426a-b47a-c332d67a02a9.jpeg,-67.1797297089,-67.1631172119,18.4865132469,18.5031140439,,600,600
