,subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,loc_im0,loc_im1,lon_min,lon_max,lat_min,lat_max,filesize_bytes,imsize_x_pix,imsize_y_pix
497652,13157029,5187,5030,14988,"{""lat_ctr"":""15.6339350872"",""lat_max"":""15.6406640978"",""lat_min"":""15.6272060765"",""lon_ctr"":""-61.4612753632"",""lon_max"":""-61.4542299645"",""lon_min"":""-61.4683207618"",""x_m_ctr"":""664944.0"",""x_m_max"":""665694.0"",""x_m_min"":""664194.0"",""y_m_ctr"":""1729041.0"",""y_m_max"":""1729791.0"",""y_m_min"":""1728291.0"",""imsize_x_pix"":""500"",""imsize_y_pix"":""500"",""tifsize_x_pix"":""500"",""tifsize_y_pix"":""500"",""jpg_file_after"":""dominica_planet_after_02_02.jpg"",""tif_file_after"":""dominica_planet_after_02_02.tif"",""jpg_file_before"":""dominica_planet_before_02_02.jpg"",""projection_orig"":""epsg:32620"",""tif_file_before"":""dominica_planet_before_02_02.tif"",""google_maps_link"":""https://www.google.com/maps/@15.6339351,-61.4612754,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/15.6339351/-61.4612754""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/7f77808a-c638-4c83-9ea0-af2a9885aad6.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e504268f-8356-47b9-8e54-833145e59116.jpeg""}",0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/7f77808a-c638-4c83-9ea0-af2a9885aad6.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/e504268f-8356-47b9-8e54-833145e59116.jpeg,-61.4683207618,-61.4542299645,15.6272060765,15.6406640978,,500,500
497665,13157030,5187,5030,14988,"{""lat_ctr"":""15.6338365063"",""lat_max"":""15.6405650264"",""lat_min"":""15.6271079861"",""lon_ctr"":""-61.4472858879"",""lon_max"":""-61.440240079"",""lon_min"":""-61.4543316967"",""x_m_ctr"":""666444.0"",""x_m_max"":""667194.0"",""x_m_min"":""665694.0"",""y_m_ctr"":""1729041.0"",""y_m_max"":""1729791.0"",""y_m_min"":""1728291.0"",""imsize_x_pix"":""500"",""imsize_y_pix"":""500"",""tifsize_x_pix"":""500"",""tifsize_y_pix"":""500"",""jpg_file_after"":""dominica_planet_after_02_03.jpg"",""tif_file_after"":""dominica_planet_after_02_03.tif"",""jpg_file_before"":""dominica_planet_before_02_03.jpg"",""projection_orig"":""epsg:32620"",""tif_file_before"":""dominica_planet_before_02_03.tif"",""google_maps_link"":""https://www.google.com/maps/@15.6338365,-61.4472859,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/15.6338365/-61.4472859""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8e36354f-046a-40a1-baca-5df1746b38e7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/78bcea5f-29aa-4783-8f92-2619986b27d3.jpeg""}",0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/8e36354f-046a-40a1-baca-5df1746b38e7.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/78bcea5f-29aa-4783-8f92-2619986b27d3.jpeg,-61.4543316967,-61.440240079,15.6271079861,15.6405650264,,500,500
497678,13157031,5187,5030,14988,"{""lat_ctr"":""15.633737034"",""lat_max"":""15.6404650631"",""lat_min"":""15.6270090048"",""lon_ctr"":""-61.4332965124"",""lon_max"":""-61.4262502938"",""lon_min"":""-61.440342731"",""x_m_ctr"":""667944.0"",""x_m_max"":""668694.0"",""x_m_min"":""667194.0"",""y_m_ctr"":""1729041.0"",""y_m_max"":""1729791.0"",""y_m_min"":""1728291.0"",""imsize_x_pix"":""500"",""imsize_y_pix"":""500"",""tifsize_x_pix"":""500"",""tifsize_y_pix"":""500"",""jpg_file_after"":""dominica_planet_after_02_04.jpg"",""tif_file_after"":""dominica_planet_after_02_04.tif"",""jpg_file_before"":""dominica_planet_before_02_04.jpg"",""projection_orig"":""epsg:32620"",""tif_file_before"":""dominica_planet_before_02_04.tif"",""google_maps_link"":""https://www.google.com/maps/@15.6337370,-61.4332965,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/15.6337370/-61.4332965""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/77d76593-23a1-4037-bcaf-03336554f547.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e26ebbb7-747b-47ee-ad5f-db3cfa1d0d1d.jpeg""}",0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/77d76593-23a1-4037-bcaf-03336554f547.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/e26ebbb7-747b-47ee-ad5f-db3cfa1d0d1d.jpeg,-61.440342731,-61.4262502938,15.6270090048,15.6404650631,,500,500
497691,13157032,5187,5030,14988,"{""lat_ctr"":""15.6336366703"",""lat_max"":""15.6403642082"",""lat_min"":""15.6269091325"",""lon_ctr"":""-61.4193072377"",""lon_max"":""-61.4122606099"",""lon_min"":""-61.4263538656"",""x_m_ctr"":""669444.0"",""x_m_max"":""670194.0"",""x_m_min"":""668694.0"",""y_m_ctr"":""1729041.0"",""y_m_max"":""1729791.0"",""y_m_min"":""1728291.0"",""imsize_x_pix"":""500"",""imsize_y_pix"":""500"",""tifsize_x_pix"":""500"",""tifsize_y_pix"":""500"",""jpg_file_after"":""dominica_planet_after_02_05.jpg"",""tif_file_after"":""dominica_planet_after_02_05.tif"",""jpg_file_before"":""dominica_planet_before_02_05.jpg"",""projection_orig"":""epsg:32620"",""tif_file_before"":""dominica_planet_before_02_05.tif"",""google_maps_link"":""https://www.google.com/maps/@15.6336367,-61.4193072,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/15.6336367/-61.4193072""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f57efb4b-fd2c-4917-a210-8dd56515cfb3.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/00c6255d-52f7-4173-b0b3-21f4edb07206.jpeg""}",0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/f57efb4b-fd2c-4917-a210-8dd56515cfb3.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/00c6255d-52f7-4173-b0b3-21f4edb07206.jpeg,-61.4263538656,-61.4122606099,15.6269091325,15.6403642082,,500,500
497704,13157033,5187,5030,14988,"{""lat_ctr"":""15.6335354154"",""lat_max"":""15.6402624615"",""lat_min"":""15.6268083693"",""lon_ctr"":""-61.4053180647"",""lon_max"":""-61.398271028"",""lon_min"":""-61.4123651014"",""x_m_ctr"":""670944.0"",""x_m_max"":""671694.0"",""x_m_min"":""670194.0"",""y_m_ctr"":""1729041.0"",""y_m_max"":""1729791.0"",""y_m_min"":""1728291.0"",""imsize_x_pix"":""500"",""imsize_y_pix"":""500"",""tifsize_x_pix"":""500"",""tifsize_y_pix"":""500"",""jpg_file_after"":""dominica_planet_after_02_06.jpg"",""tif_file_after"":""dominica_planet_after_02_06.tif"",""jpg_file_before"":""dominica_planet_before_02_06.jpg"",""projection_orig"":""epsg:32620"",""tif_file_before"":""dominica_planet_before_02_06.tif"",""google_maps_link"":""https://www.google.com/maps/@15.6335354,-61.4053181,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/15.6335354/-61.4053181""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ffc88374-084f-450a-a8e6-8194a83dd126.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/7d7295a6-8176-4dbb-b917-e3a6015efa0c.jpeg""}",0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/ffc88374-084f-450a-a8e6-8194a83dd126.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/7d7295a6-8176-4dbb-b917-e3a6015efa0c.jpeg,-61.4123651014,-61.398271028,15.6268083693,15.6402624615,,500,500
497717,13157034,5187,5030,14988,"{""lat_ctr"":""15.6203789222"",""lat_max"":""15.6271079861"",""lat_min"":""15.6136498582"",""lon_ctr"":""-61.4613765862"",""lon_max"":""-61.4543316967"",""lon_min"":""-61.4684214756"",""x_m_ctr"":""664944.0"",""x_m_max"":""665694.0"",""x_m_min"":""664194.0"",""y_m_ctr"":""1727541.0"",""y_m_max"":""1728291.0"",""y_m_min"":""1726791.0"",""imsize_x_pix"":""500"",""imsize_y_pix"":""500"",""tifsize_x_pix"":""500"",""tifsize_y_pix"":""500"",""jpg_file_after"":""dominica_planet_after_03_02.jpg"",""tif_file_after"":""dominica_planet_after_03_02.tif"",""jpg_file_before"":""dominica_planet_before_03_02.jpg"",""projection_orig"":""epsg:32620"",""tif_file_before"":""dominica_planet_before_03_02.tif"",""google_maps_link"":""https://www.google.com/maps/@15.6203789,-61.4613766,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/15.6203789/-61.4613766""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/d07b4fae-134e-41b2-a6bc-a934f0650082.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/b719309e-f2a6-4939-90eb-585f3af025c0.jpeg""}",0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/d07b4fae-134e-41b2-a6bc-a934f0650082.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/b719309e-f2a6-4939-90eb-585f3af025c0.jpeg,-61.4684214756,-61.4543316967,15.6136498582,15.6271079861,,500,500
497730,13157035,5187,5030,14988,"{""lat_ctr"":""15.6202804309"",""lat_max"":""15.6270090048"",""lat_min"":""15.6135518571"",""lon_ctr"":""-61.4473880303"",""lon_max"":""-61.440342731"",""lon_min"":""-61.4544333295"",""x_m_ctr"":""666444.0"",""x_m_max"":""667194.0"",""x_m_min"":""665694.0"",""y_m_ctr"":""1727541.0"",""y_m_max"":""1728291.0"",""y_m_min"":""1726791.0"",""imsize_x_pix"":""500"",""imsize_y_pix"":""500"",""tifsize_x_pix"":""500"",""tifsize_y_pix"":""500"",""jpg_file_after"":""dominica_planet_after_03_03.jpg"",""tif_file_after"":""dominica_planet_after_03_03.tif"",""jpg_file_before"":""dominica_planet_before_03_03.jpg"",""projection_orig"":""epsg:32620"",""tif_file_before"":""dominica_planet_before_03_03.tif"",""google_maps_link"":""https://www.google.com/maps/@15.6202804,-61.4473880,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/15.6202804/-61.4473880""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/33c1ff69-0576-4242-8e21-49b94b30f155.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/dde48a63-c644-44aa-92da-df53dd58906d.jpeg""}",0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/33c1ff69-0576-4242-8e21-49b94b30f155.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/dde48a63-c644-44aa-92da-df53dd58906d.jpeg,-61.4544333295,-61.440342731,15.6135518571,15.6270090048,,500,500
497743,13157036,5187,5030,14988,"{""lat_ctr"":""15.6201810492"",""lat_max"":""15.6269091325"",""lat_min"":""15.6134529658"",""lon_ctr"":""-61.4333995742"",""lon_max"":""-61.4263538656"",""lon_min"":""-61.4404452827"",""x_m_ctr"":""667944.0"",""x_m_max"":""668694.0"",""x_m_min"":""667194.0"",""y_m_ctr"":""1727541.0"",""y_m_max"":""1728291.0"",""y_m_min"":""1726791.0"",""imsize_x_pix"":""500"",""imsize_y_pix"":""500"",""tifsize_x_pix"":""500"",""tifsize_y_pix"":""500"",""jpg_file_after"":""dominica_planet_after_03_04.jpg"",""tif_file_after"":""dominica_planet_after_03_04.tif"",""jpg_file_before"":""dominica_planet_before_03_04.jpg"",""projection_orig"":""epsg:32620"",""tif_file_before"":""dominica_planet_before_03_04.tif"",""google_maps_link"":""https://www.google.com/maps/@15.6201810,-61.4333996,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/15.6201810/-61.4333996""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/dca97813-35a7-4e9e-9ba7-94c36d9e28e9.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/707d6a1b-7456-40f8-bc5c-036b6d766c99.jpeg""}",0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/dca97813-35a7-4e9e-9ba7-94c36d9e28e9.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/707d6a1b-7456-40f8-bc5c-036b6d766c99.jpeg,-61.4404452827,-61.4263538656,15.6134529658,15.6269091325,,500,500
497756,13157037,5187,5030,14988,"{""lat_ctr"":""15.6200807768"",""lat_max"":""15.6268083693"",""lat_min"":""15.6133531844"",""lon_ctr"":""-61.4194112188"",""lon_max"":""-61.4123651014"",""lon_min"":""-61.4264573362"",""x_m_ctr"":""669444.0"",""x_m_max"":""670194.0"",""x_m_min"":""668694.0"",""y_m_ctr"":""1727541.0"",""y_m_max"":""1728291.0"",""y_m_min"":""1726791.0"",""imsize_x_pix"":""500"",""imsize_y_pix"":""500"",""tifsize_x_pix"":""500"",""tifsize_y_pix"":""500"",""jpg_file_after"":""dominica_planet_after_03_05.jpg"",""tif_file_after"":""dominica_planet_after_03_05.tif"",""jpg_file_before"":""dominica_planet_before_03_05.jpg"",""projection_orig"":""epsg:32620"",""tif_file_before"":""dominica_planet_before_03_05.tif"",""google_maps_link"":""https://www.google.com/maps/@15.6200808,-61.4194112,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/15.6200808/-61.4194112""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ea528e6d-7c2d-4b02-9aef-156b59dee885.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f1065f28-7550-4ab0-959d-116ebbe88fc9.jpeg""}",0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/ea528e6d-7c2d-4b02-9aef-156b59dee885.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/f1065f28-7550-4ab0-959d-116ebbe88fc9.jpeg,-61.4264573362,-61.4123651014,15.6133531844,15.6268083693,,500,500
497769,13157038,5187,5030,14988,"{""lat_ctr"":""15.619979614"",""lat_max"":""15.6267067151"",""lat_min"":""15.6132525129"",""lon_ctr"":""-61.405422965"",""lon_max"":""-61.3983764392"",""lon_min"":""-61.4124694908"",""x_m_ctr"":""670944.0"",""x_m_max"":""671694.0"",""x_m_min"":""670194.0"",""y_m_ctr"":""1727541.0"",""y_m_max"":""1728291.0"",""y_m_min"":""1726791.0"",""imsize_x_pix"":""500"",""imsize_y_pix"":""500"",""tifsize_x_pix"":""500"",""tifsize_y_pix"":""500"",""jpg_file_after"":""dominica_planet_after_03_06.jpg"",""tif_file_after"":""dominica_planet_after_03_06.tif"",""jpg_file_before"":""dominica_planet_before_03_06.jpg"",""projection_orig"":""epsg:32620"",""tif_file_before"":""dominica_planet_before_03_06.tif"",""google_maps_link"":""https://www.google.com/maps/@15.6199796,-61.4054230,17z"",""attribution_planet"":""Planet Team (2017). Planet Application Program Interface: In Space For Life on Earth. San Francisco, CA. https://api.planet.com License: CC-BY-SA"",""openstreetmap_link"":""http://www.openstreetmap.org/#map=17/15.6199796/-61.4054230""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/53378123-ef3e-45b4-8337-de5706b46949.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/110d0d26-f304-4272-a400-f837ec879fc2.jpeg""}",0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/53378123-ef3e-45b4-8337-de5706b46949.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/110d0d26-f304-4272-a400-f837ec879fc2.jpeg,-61.4124694908,-61.3983764392,15.6132525129,15.6267067151,,500,500
